-115.1708344,-74.31487116,1.815096763
-115.7114209,-74.63475221,1.780019016
-115.7114209,-74.63475221,1.780019016
-118.0168252,-75.9906775,1.72206226
-116.6267506,-75.19145333,1.513460621
-120.0130088,-77.17138717,1.624515514
-115.6852004,-74.66050665,1.802120155
-116.6267506,-75.19145333,1.513460621
-116.6267506,-75.19145333,1.513460621
-116.6267506,-75.19145333,1.513460621
-115.6852004,-77.17138717,1.513460621
-116.6267506,-74.66050665,1.624515514
-116.6267506,-75.19145333,1.802120155
-116.6267506,-75.19145333,1.513460621
-115.7114209,-75.19145333,1.513460621
-115.7114209,-74.63475221,1.513460621
-115.6852004,-74.63475221,1.815096763
-116.6267506,-75.19145333,1.780019016
-116.6267506,-75.19145333,1.780019016
-116.6267506,-75.19145333,1.72206226

