,size,direction,x,y,theta
0,small,straight,-90.34254134358713,-75.31085008599597,1.3983540956834861
1,small,left,-49.13674104870246,-49.37540880253755,1.0494783989287972
2,small,right,-116.76537199917091,-75.34785958274541,1.7195039362672333
3,medium,straight,-87.84626125240726,-71.6318385774201,1.4760239645127022
4,medium,left,-44.51505318303728,-44.1864196802956,0.8752722344276009
5,medium,right,-112.28182469891297,-70.19942862987905,1.8309550248141495
6,large,straight,-83.99624121272073,-67.93583984329143,1.391163704127964
7,large,left,-42.24641202007802,-41.72758311924061,0.8792133326692729
8,large,right,-109.68229587047949,-67.46310271221607,1.624510577064201
